,A24F,A61B,A61L,A61M,B01F,B01J,B05C,B05D,B22F,B23K,B25F,B29C,B30B,B32B,B33Y,B60K,B60L,B82Y,C01B,C01D,C01F,C01G,C03B,C03C,C04B,C07C,C07D,C07F,C08F,C08G,C08J,C08K,C08L,C09D,C09J,C09K,C22B,C22C,C23C,C23F,C25B,C25D,C30B,D04H,G01N,G01R,G06F,H01B,H01G,H01L,H01M,H02J,H02M,H05B,H05K,H10N
G01N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012985924932975,0.0,0.0,0.0,0.0,0.0048173592493297,0.0,0.0,0.0,0.0,0.0
G01R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012985924932975,0.0,0.0,0.0,0.0,0.0,0.0082942359249329,0.0037701072386058,0.0,0.0,0.0,0.0
G06F,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030998659517426,0.0015080428954423,0.0,0.0,0.0,0.0
H01B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0187248659517426,0.0014661528150134,0.0044822386058981,0.0080847855227882,0.0,0.0040214477211796,0.0064929624664879,0.0,0.0,0.0,0.0015499329758713,0.0015499329758713,0.0012567024128686,0.0016337131367292,0.0029741957104557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022620643431635,0.0,0.0719252680965147,0.0,0.0,0.0,0.0,0.0
H01G,0.0010053619302949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031836461126005,0.0,0.0,0.0,0.0,0.0015080428954423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012567024128686,0.0,0.0,0.0014661528150134,0.0020526139410187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022620643431635,0.0,0.0,0.0299095174262734,0.0,0.0,0.0,0.0,0.0
H01L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027647453083109,0.0,0.0,0.0,0.0,0.0
H01M,0.0015080428954423,0.0010891420911528,0.0,0.0,0.0010053619302949,0.0034768766756032,0.0017174932975871,0.0048173592493297,0.0031836461126005,0.0012985924932975,0.001801273458445,0.0022620643431635,0.0013823726541554,0.008252345844504,0.0017174932975871,0.0022201742627345,0.007288873994638,0.0066605227882037,0.0534517426273458,0.0081685656836461,0.0084199061662198,0.0387483243967828,0.001801273458445,0.0097184986595174,0.0176776139410187,0.0011310321715817,0.0018431635388739,0.002722855227882,0.0113941018766756,0.0084199061662198,0.0062835120643431,0.0049011394101876,0.0092577077747989,0.0010472520107238,0.0025552949061662,0.0010891420911528,0.001801273458445,0.0018850536193029,0.0099698391420911,0.0,0.0011310321715817,0.0026390750670241,0.0010053619302949,0.0012148123324396,0.0048173592493297,0.0082942359249329,0.0030998659517426,0.0719252680965147,0.0299095174262734,0.0027647453083109,0.0,0.0149128686327077,0.0,0.0014242627345844,0.0013404825737265,0.0018850536193029
H02J,0.0035606568364611,0.0,0.0,0.0010053619302949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038957774798927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037701072386058,0.0015080428954423,0.0,0.0,0.0,0.0149128686327077,0.0,0.0012148123324396,0.001759383378016,0.0,0.0
H02M,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012148123324396,0.0,0.0,0.0,0.0
H05B,0.0023877345844504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014242627345844,0.001759383378016,0.0,0.0,0.0,0.0
H05K,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013404825737265,0.0,0.0,0.0,0.0,0.0
H10N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018850536193029,0.0,0.0,0.0,0.0,0.0
