Node,Community
A24F,1
H01G,2
H01M,2
H02J,1
H05B,1
C01B,2
B60L,1
C01D,2
C01F,2
C01G,2
C03C,2
C04B,2
H01B,2
C08G,0
C08F,0
C08J,0
C08K,0
C08L,0
G01R,1
