Community_A,Community_B,Fusion_Degree,IPC_Distance,Centrality,Fusion_Value
0,1,0.0,2,0.026401412571231943,0.0
0,2,0.0,1,0.05523033855745983,0.0
1,2,0.0,1,0.052947282267958834,0.0
