Node,Community
A24F,4
A61M,4
H01G,2
H01M,3
H02J,4
H05B,4
A61B,3
A61L,8
C01B,8
B01F,3
B01J,3
B05C,3
B05D,3
B22F,3
B23K,3
B25F,3
B29C,5
B33Y,5
B30B,3
B32B,2
B60K,4
B60L,4
B82Y,3
C01D,8
C01F,6
C01G,6
C03C,9
C04B,6
H01B,7
C03B,9
C07C,3
C07D,3
C07F,3
C08F,0
C08G,0
C08J,0
C08K,0
C08L,0
C09D,3
C09J,3
C09K,3
C22B,3
C22C,3
C23C,3
C25D,1
C23F,1
C25B,3
C30B,3
D04H,3
G01N,4
G01R,4
G06F,4
H01L,3
H05K,3
H10N,3
H02M,4
